"rho","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.061769,0.036666,1,576,1,576,0
0.061756,0.036666,1,577,1,577,0
0.061743,0.036666,1,578,1,578,0
0.06173,0.036666,1,579,1,579,0
0.061718,0.036666,1,580,1,580,0
0.061705,0.036666,1,581,1,581,0
0.061692,0.036666,1,582,1,582,0
0.06168,0.036666,1,583,1,583,0
0.061668,0.036666,1,584,1,584,0
0.061655,0.036666,1,585,1,585,0
0.061643,0.036666,1,586,1,586,0
0.061631,0.036666,1,587,1,587,0
0.06162,0.036666,1,588,1,588,0
0.061608,0.036666,1,589,1,589,0
0.061597,0.036666,1,590,1,590,0
0.061586,0.036666,1,591,1,591,0
0.061576,0.036666,1,592,1,592,0
0.061566,0.036666,1,593,1,593,0
0.061557,0.036666,1,594,1,594,0
0.061549,0.036666,1,595,1,595,0
0.061542,0.036666,1,596,1,596,0
0.061535,0.036666,1,597,1,597,0
0.061531,0.036666,1,598,1,598,0
0.061527,0.036666,1,599,1,599,0
0.061526,0.036666,1,600,1,600,0
